date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,has_shootout,shootout_winner,goalscorers_rows,penalty_goals_count,own_goals_count,fixture_id,league_id,season,source,home_team_norm,away_team_norm,home_rank_position,home_rank_points,away_rank_position,away_rank_points,rank_points_diff
2022-11-26,France,Denmark,2.0,1.0,World Cup,,,,False,,0,0,0,855751,1,2022,api_football,France,Denmark,3.0,1870.0,21.0,1616.75,253.25
2022-11-26,Argentina,Mexico,2.0,0.0,World Cup,,,,False,,0,0,0,855752,1,2022,api_football,Argentina,Mexico,2.0,1873.33,16.0,1675.75,197.57999999999993
2022-11-27,Japan,Costa Rica,0.0,1.0,World Cup,,,,False,,0,0,0,871853,1,2022,api_football,Japan,Costa Rica,19.0,1650.12,51.0,1464.24,185.87999999999988
2022-11-27,Belgium,Morocco,0.0,2.0,World Cup,,,,False,,0,0,0,855753,1,2022,api_football,Belgium,Morocco,9.0,1730.71,8.0,1736.56,-5.849999999999909
2022-11-27,Croatia,Canada,4.0,1.0,World Cup,,,,False,,0,0,0,855754,1,2022,api_football,Croatia,Canada,11.0,1716.88,29.0,1559.15,157.73000000000002
2022-11-27,Spain,Germany,1.0,1.0,World Cup,,,,False,,0,0,0,855755,1,2022,api_football,Spain,Germany,1.0,1877.18,10.0,1724.15,153.02999999999997
2022-11-28,Cameroon,Serbia,3.0,3.0,World Cup,,,,False,,0,0,0,855756,1,2022,api_football,Cameroon,Serbia,45.0,1482.39,39.0,1506.34,-23.949999999999818
2022-11-28,South Korea,Ghana,2.0,3.0,World Cup,,,,False,,0,0,0,855757,1,2022,api_football,Korea Republic,Ghana,22.0,1599.45,72.0,1351.09,248.36000000000013
2022-11-28,Brazil,Switzerland,1.0,0.0,World Cup,,,,False,,0,0,0,855758,1,2022,api_football,Brazil,Switzerland,5.0,1760.46,18.0,1654.69,105.76999999999998
2022-11-28,Portugal,Uruguay,2.0,0.0,World Cup,,,,False,,0,0,0,855759,1,2022,api_football,Portugal,Uruguay,6.0,1760.38,17.0,1672.62,87.76000000000022
2022-11-29,Netherlands,Qatar,2.0,0.0,World Cup,,,,False,,0,0,0,855760,1,2022,api_football,Netherlands,Qatar,7.0,1756.27,56.0,1454.96,301.30999999999995
2022-11-29,Ecuador,Senegal,1.0,2.0,World Cup,,,,False,,0,0,0,855761,1,2022,api_football,Ecuador,Senegal,23.0,1591.73,14.0,1684.86,-93.12999999999988
2022-11-29,Iran,United States,0.0,1.0,World Cup,,,,False,,0,0,0,855762,1,2022,api_football,IR Iran,USA,20.0,1617.02,15.0,1681.88,-64.86000000000013
2022-11-29,Wales,England,0.0,3.0,World Cup,,,,False,,0,0,0,866683,1,2022,api_football,Wales,England,35.0,1529.71,4.0,1834.12,-304.40999999999985
2022-11-30,Australia,Denmark,1.0,0.0,World Cup,,,,False,,0,0,0,871854,1,2022,api_football,Australia,Denmark,27.0,1574.01,21.0,1616.75,-42.74000000000001
2022-11-30,Tunisia,France,1.0,0.0,World Cup,,,,False,,0,0,0,855763,1,2022,api_football,Tunisia,France,47.0,1479.04,3.0,1870.0,-390.96000000000004
2022-11-30,Saudi Arabia,Mexico,1.0,2.0,World Cup,,,,False,,0,0,0,855765,1,2022,api_football,Saudi Arabia,Mexico,61.0,1429.48,16.0,1675.75,-246.26999999999998
2022-11-30,Poland,Argentina,0.0,2.0,World Cup,,,,False,,0,0,0,855764,1,2022,api_football,Poland,Argentina,34.0,1532.04,2.0,1873.33,-341.28999999999996
2022-12-01,Croatia,Belgium,0.0,0.0,World Cup,,,,False,,0,0,0,855766,1,2022,api_football,Croatia,Belgium,11.0,1716.88,9.0,1730.71,-13.829999999999927
2022-12-01,Canada,Morocco,1.0,2.0,World Cup,,,,False,,0,0,0,855767,1,2022,api_football,Canada,Morocco,29.0,1559.15,8.0,1736.56,-177.40999999999985
2022-12-01,Japan,Spain,2.0,1.0,World Cup,,,,False,,0,0,0,855768,1,2022,api_football,Japan,Spain,19.0,1650.12,1.0,1877.18,-227.06000000000017
2022-12-01,Costa Rica,Germany,2.0,4.0,World Cup,,,,False,,0,0,0,871855,1,2022,api_football,Costa Rica,Germany,51.0,1464.24,10.0,1724.15,-259.9100000000001
2022-12-02,South Korea,Portugal,2.0,1.0,World Cup,,,,False,,0,0,0,855769,1,2022,api_football,Korea Republic,Portugal,22.0,1599.45,6.0,1760.38,-160.93000000000006
2022-12-02,Ghana,Uruguay,0.0,2.0,World Cup,,,,False,,0,0,0,855770,1,2022,api_football,Ghana,Uruguay,72.0,1351.09,17.0,1672.62,-321.53
2022-12-02,Serbia,Switzerland,2.0,3.0,World Cup,,,,False,,0,0,0,855772,1,2022,api_football,Serbia,Switzerland,39.0,1506.34,18.0,1654.69,-148.35000000000014
2022-12-02,Cameroon,Brazil,1.0,0.0,World Cup,,,,False,,0,0,0,855771,1,2022,api_football,Cameroon,Brazil,45.0,1482.39,5.0,1760.46,-278.06999999999994
2022-12-03,Netherlands,United States,3.0,1.0,World Cup,,,,False,,0,0,0,976533,1,2022,api_football,Netherlands,USA,7.0,1756.27,15.0,1681.88,74.38999999999987
2022-12-03,Argentina,Australia,2.0,1.0,World Cup,,,,False,,0,0,0,976642,1,2022,api_football,Argentina,Australia,2.0,1873.33,27.0,1574.01,299.31999999999994
2022-12-04,France,Poland,3.0,1.0,World Cup,,,,False,,0,0,0,976643,1,2022,api_football,France,Poland,3.0,1870.0,34.0,1532.04,337.96000000000004
2022-12-04,England,Senegal,3.0,0.0,World Cup,,,,False,,0,0,0,976534,1,2022,api_football,England,Senegal,4.0,1834.12,14.0,1684.86,149.26
2022-12-05,Japan,Croatia,1.0,1.0,World Cup,,,,False,,0,0,0,977344,1,2022,api_football,Japan,Croatia,19.0,1650.12,11.0,1716.88,-66.76000000000022
2022-12-05,Brazil,South Korea,4.0,1.0,World Cup,,,,False,,0,0,0,977705,1,2022,api_football,Brazil,Korea Republic,5.0,1760.46,22.0,1599.45,161.01
2022-12-06,Morocco,Spain,0.0,0.0,World Cup,,,,False,,0,0,0,977345,1,2022,api_football,Morocco,Spain,8.0,1736.56,1.0,1877.18,-140.62000000000012
2022-12-06,Portugal,Switzerland,6.0,1.0,World Cup,,,,False,,0,0,0,977706,1,2022,api_football,Portugal,Switzerland,6.0,1760.38,18.0,1654.69,105.69000000000005
2022-12-09,Croatia,Brazil,1.0,1.0,World Cup,,,,False,,0,0,0,978072,1,2022,api_football,Croatia,Brazil,11.0,1716.88,5.0,1760.46,-43.57999999999993
2022-12-09,Netherlands,Argentina,2.0,2.0,World Cup,,,,False,,0,0,0,977794,1,2022,api_football,Netherlands,Argentina,7.0,1756.27,2.0,1873.33,-117.05999999999995
2022-12-10,Morocco,Portugal,1.0,0.0,World Cup,,,,False,,0,0,0,978088,1,2022,api_football,Morocco,Portugal,8.0,1736.56,6.0,1760.38,-23.820000000000164
2022-12-10,England,France,1.0,2.0,World Cup,,,,False,,0,0,0,978036,1,2022,api_football,England,France,4.0,1834.12,3.0,1870.0,-35.88000000000011
2022-12-13,Argentina,Croatia,3.0,0.0,World Cup,,,,False,,0,0,0,978279,1,2022,api_football,Argentina,Croatia,2.0,1873.33,11.0,1716.88,156.44999999999982
2022-12-14,France,Morocco,2.0,0.0,World Cup,,,,False,,0,0,0,978488,1,2022,api_football,France,Morocco,3.0,1870.0,8.0,1736.56,133.44000000000005
2022-12-17,Croatia,Morocco,2.0,1.0,World Cup,,,,False,,0,0,0,979138,1,2022,api_football,Croatia,Morocco,11.0,1716.88,8.0,1736.56,-19.679999999999836
2022-12-18,Argentina,France,3.0,3.0,World Cup,,,,False,,0,0,0,979139,1,2022,api_football,Argentina,France,2.0,1873.33,3.0,1870.0,3.3299999999999272
2022-01-01,Mauritania,Uganda,,,Friendlies,,,,False,,0,0,0,821435,10,2022,api_football,Mauritania,Uganda,115.0,1171.35,88.0,1264.08,-92.73000000000002
2022-01-01,Algeria,Gambia,,,Friendlies,,,,False,,0,0,0,821408,10,2022,api_football,Algeria,Gambia,28.0,1560.91,,,
2022-01-03,Rwanda,Senegal,,,Friendlies,,,,False,,0,0,0,821409,10,2022,api_football,Rwanda,Senegal,130.0,1117.78,14.0,1684.86,-567.0799999999999
2022-01-03,DR Congo,Burkina Faso,,,Friendlies,,,,False,,0,0,0,821438,10,2022,api_football,Congo DR,Burkina Faso,48.0,1468.22,62.0,1412.79,55.430000000000064
2022-01-04,Malawi,Mali,,,Friendlies,,,,False,,0,0,0,821439,10,2022,api_football,Malawi,Mali,126.0,1133.75,54.0,1458.48,-324.73
2022-01-05,Gambia,Syria,,,Friendlies,,,,False,,0,0,0,821441,10,2022,api_football,Gambia,Syria,,,84.0,1282.62,
2022-01-06,Rwanda,Senegal,,,Friendlies,,,,False,,0,0,0,821411,10,2022,api_football,Rwanda,Senegal,130.0,1117.78,14.0,1684.86,-567.0799999999999
2022-01-09,Sweden,Finland,,,Friendlies,,,,False,,0,0,0,821412,10,2022,api_football,Sweden,Finland,42.0,1487.13,75.0,1341.81,145.32000000000016
2022-01-12,Sweden,Finland,,,Friendlies,,,,False,,0,0,0,821413,10,2022,api_football,Sweden,Finland,42.0,1487.13,75.0,1341.81,145.32000000000016
2022-01-23,Guatemala,Canada,,,Friendlies,,,,False,,0,0,0,821420,10,2022,api_football,Guatemala,Canada,94.0,1245.77,29.0,1559.15,-313.3800000000001
2022-01-24,Indonesia,Bangladesh,,,Friendlies,,,,False,,0,0,0,824911,10,2022,api_football,Indonesia,Bangladesh,122.0,1144.73,180.0,911.1,233.63
2022-01-27,Nicaragua,Dominican Republic,,,Friendlies,,,,False,,0,0,0,824915,10,2022,api_football,Nicaragua,Dominican Republic,131.0,1116.86,142.0,1077.49,39.36999999999989
2022-01-27,Indonesia,Bangladesh,,,Friendlies,,,,False,,0,0,0,824912,10,2022,api_football,Indonesia,Bangladesh,122.0,1144.73,180.0,911.1,233.63
2022-01-29,Nicaragua,Belize,,,Friendlies,,,,False,,0,0,0,847820,10,2022,api_football,Nicaragua,Belize,131.0,1116.86,181.0,910.74,206.1199999999999
2022-01-30,Belize,Guatemala,,,Friendlies,,,,False,,0,0,0,825180,10,2022,api_football,Belize,Guatemala,181.0,910.74,94.0,1245.77,-335.03
2022-01-30,Guyana,Barbados,,,Friendlies,,,,False,,0,0,0,828061,10,2022,api_football,Guyana,Barbados,151.0,1041.9,178.0,914.42,127.48000000000013
2022-02-02,Nicaragua,Belize,,,Friendlies,,,,False,,0,0,0,824916,10,2022,api_football,Nicaragua,Belize,131.0,1116.86,181.0,910.74,206.1199999999999
2022-02-02,New Zealand,Uzbekistan,,,Friendlies,,,,False,,0,0,0,821433,10,2022,api_football,New Zealand,Uzbekistan,85.0,1279.25,52.0,1462.03,-182.77999999999997
2022-03-24,Madagascar,Afghanistan,,,Friendlies,,,,False,,0,0,0,848768,10,2022,api_football,Madagascar,Afghanistan,104.0,1198.87,162.0,991.19,207.67999999999984
2022-03-26,Tanzania,Botswana,,,Friendlies,,,,False,,0,0,0,851848,10,2022,api_football,Tanzania,Botswana,110.0,1186.13,144.0,1062.42,123.71000000000004
2022-03-29,Slovenia,Belgium,,,Friendlies,,,,False,,0,0,0,821426,10,2022,api_football,Slovenia,Belgium,57.0,1447.31,9.0,1730.71,-283.4000000000001
2022-03-29,Zambia,Guinea,,,Friendlies,,,,False,,0,0,0,849852,10,2022,api_football,Zambia,Guinea,91.0,1256.69,80.0,1307.05,-50.3599999999999
2022-05-01,El Salvador,Panama,,,Friendlies,,,,False,,0,0,0,857607,10,2022,api_football,El Salvador,Panama,99.0,1226.65,33.0,1540.43,-313.78
2022-05-24,Thailand,Bahrain,,,Friendlies,,,,False,,0,0,0,861479,10,2022,api_football,Thailand,Bahrain,96.0,1243.27,90.0,1258.53,-15.259999999999991
2022-05-25,Nepal,Afghanistan,,,Friendlies,,,,False,,0,0,0,858425,10,2022,api_football,Nepal,Afghanistan,182.0,902.52,162.0,991.19,-88.67000000000007
2022-05-25,India,Zambia,,,Friendlies,,,,False,,0,0,0,861480,10,2022,api_football,India,Zambia,141.0,1079.52,91.0,1256.69,-177.17000000000007
2022-05-27,Malaysia,Myanmar,,,Friendlies,,,,False,,0,0,0,857610,10,2022,api_football,Malaysia,Myanmar,121.0,1145.89,163.0,990.81,155.08000000000015
2022-05-29,Nepal,Afghanistan,,,Friendlies,,,,False,,0,0,0,858426,10,2022,api_football,Nepal,Afghanistan,182.0,902.52,162.0,991.19,-88.67000000000007
2022-06-05,Canada,Panama,,,Friendlies,,,,False,,0,0,0,864292,10,2022,api_football,Canada,Panama,29.0,1559.15,33.0,1540.43,18.720000000000027
2022-06-05,Canada,Iran,,,Friendlies,,,,False,,0,0,0,861762,10,2022,api_football,Canada,IR Iran,29.0,1559.15,20.0,1617.02,-57.86999999999989
2022-06-11,Brazil,Argentina,,,Friendlies,,,,False,,0,0,0,858938,10,2022,api_football,Brazil,Argentina,5.0,1760.46,2.0,1873.33,-112.86999999999989
2022-06-11,Uruguay,Jamaica,,,Friendlies,,,,False,,0,0,0,860358,10,2022,api_football,Uruguay,Jamaica,17.0,1672.62,70.0,1362.46,310.15999999999985
2022-09-02,Papua New Guinea,Singapore,,,Friendlies,,,,False,,0,0,0,942685,10,2022,api_football,Papua New Guinea,Singapore,170.0,974.9,148.0,1050.35,-75.44999999999993
2022-09-05,Papua New Guinea,Singapore,,,Friendlies,,,,False,,0,0,0,942686,10,2022,api_football,Papua New Guinea,Singapore,170.0,974.9,148.0,1050.35,-75.44999999999993
2022-09-20,Qatar,Bolivia,,,Friendlies,,,,False,,0,0,0,961012,10,2022,api_football,Qatar,Bolivia,56.0,1454.96,77.0,1327.67,127.28999999999996
2022-09-21,Libya,Zambia,,,Friendlies,,,,False,,0,0,0,948278,10,2022,api_football,Libya,Zambia,112.0,1183.06,91.0,1256.69,-73.63000000000011
2022-09-22,Puerto Rico,Dominican Republic,,,Friendlies,,,,False,,0,0,0,945816,10,2022,api_football,Puerto Rico,Dominican Republic,156.0,1020.07,142.0,1077.49,-57.41999999999996
2022-09-24,Honduras,El Salvador,,,Friendlies,,,,False,,0,0,0,942147,10,2022,api_football,Honduras,El Salvador,65.0,1379.54,99.0,1226.65,152.88999999999987
2022-09-26,Mali,Zambia,,,Friendlies,,,,False,,0,0,0,961015,10,2022,api_football,Mali,Zambia,54.0,1458.48,91.0,1256.69,201.78999999999996
2022-09-27,Libya,Mali,,,Friendlies,,,,False,,0,0,0,946607,10,2022,api_football,Libya,Mali,112.0,1183.06,54.0,1458.48,-275.4200000000001
2022-11-15,Iraq,Belgium,,,Friendlies,,,,False,,0,0,0,945815,10,2022,api_football,Iraq,Belgium,58.0,1436.94,9.0,1730.71,-293.77
2022-11-17,Gambia,DR Congo,,,Friendlies,,,,False,,0,0,0,971839,10,2022,api_football,Gambia,Congo DR,,,48.0,1468.22,
2022-11-17,Iraq,Costa Rica,,,Friendlies,,,,False,,0,0,0,965471,10,2022,api_football,Iraq,Costa Rica,58.0,1436.94,51.0,1464.24,-27.299999999999955
2022-11-19,Russia,Bosnia & Herzegovina,,,Friendlies,,,,False,,0,0,0,960220,10,2022,api_football,Russia,Bosnia & Herzegovina,36.0,1524.52,,,
2022-11-20,Gambia,Tanzania,,,Friendlies,,,,False,,0,0,0,973267,10,2022,api_football,Gambia,Tanzania,,,110.0,1186.13,
2022-11-20,Gambia,Liberia,,,Friendlies,,,,False,,0,0,0,971840,10,2022,api_football,Gambia,Liberia,,,140.0,1081.46,
2022-11-21,Iraq,Venezuela,,,Friendlies,,,,False,,0,0,0,970022,10,2022,api_football,Iraq,Venezuela,58.0,1436.94,50.0,1465.22,-28.279999999999973
2022-01-02,Gabon,Burkina Faso,0.0,3.0,Friendlies,,,,False,,0,0,0,822699,10,2022,api_football,Gabon,Burkina Faso,86.0,1276.28,62.0,1412.79,-136.51
2022-01-02,Zimbabwe,Sudan,0.0,0.0,Friendlies,,,,False,,0,0,0,821436,10,2022,api_football,Zimbabwe,Sudan,132.0,1113.62,117.0,1157.22,-43.600000000000136
2022-01-03,Guinea,Rwanda,0.0,3.0,Friendlies,,,,False,,0,0,0,821437,10,2022,api_football,Guinea,Rwanda,80.0,1307.05,130.0,1117.78,189.26999999999998
2022-01-04,Mauritania,Gabon,1.0,1.0,Friendlies,,,,False,,0,0,0,821440,10,2022,api_football,Mauritania,Gabon,115.0,1171.35,86.0,1276.28,-104.93000000000006
2022-01-05,Algeria,Ghana,3.0,0.0,Friendlies,,,,False,,0,0,0,821410,10,2022,api_football,Algeria,Ghana,28.0,1560.91,72.0,1351.09,209.82000000000016
2022-01-06,Rwanda,Guinea,0.0,2.0,Friendlies,,,,False,,0,0,0,821442,10,2022,api_football,Rwanda,Guinea,130.0,1117.78,80.0,1307.05,-189.26999999999998
2022-01-12,Iceland,Uganda,1.0,1.0,Friendlies,,,,False,,0,0,0,821414,10,2022,api_football,Iceland,Uganda,74.0,1344.72,88.0,1264.08,80.6400000000001
2022-01-15,Iceland,South Korea,1.0,5.0,Friendlies,,,,False,,0,0,0,821415,10,2022,api_football,Iceland,Korea Republic,74.0,1344.72,22.0,1599.45,-254.73000000000002
2022-01-16,Peru,Panama,1.0,1.0,Friendlies,,,,False,,0,0,0,821417,10,2022,api_football,Peru,Panama,53.0,1461.46,33.0,1540.43,-78.97000000000003
2022-01-16,Colombia,Honduras,2.0,1.0,Friendlies,,,,False,,0,0,0,821416,10,2022,api_football,Colombia,Honduras,13.0,1701.3,65.0,1379.54,321.76
2022-01-18,Moldova,Uganda,2.0,3.0,Friendlies,,,,False,,0,0,0,821431,10,2022,api_football,Moldova,Uganda,158.0,1012.64,88.0,1264.08,-251.43999999999994
2022-01-21,Peru,Jamaica,3.0,0.0,Friendlies,,,,False,,0,0,0,821419,10,2022,api_football,Peru,Jamaica,53.0,1461.46,70.0,1362.46,99.0
2022-01-21,South Korea,Moldova,4.0,0.0,Friendlies,,,,False,,0,0,0,821418,10,2022,api_football,Korea Republic,Moldova,22.0,1599.45,158.0,1012.64,586.8100000000001
2022-01-21,Iraq,Uganda,1.0,0.0,Friendlies,,,,False,,0,0,0,823572,10,2022,api_football,Iraq,Uganda,58.0,1436.94,88.0,1264.08,172.86000000000013
2022-01-21,Bolivia,Trinidad and Tobago,5.0,0.0,Friendlies,,,,False,,0,0,0,825178,10,2022,api_football,Bolivia,Trinidad and Tobago,77.0,1327.67,97.0,1227.32,100.35000000000014
2022-01-27,Indonesia,Timor-Leste,4.0,1.0,Friendlies,,,,False,,0,0,0,828035,10,2022,api_football,Indonesia,Timor-Leste,122.0,1144.73,198.0,835.55,309.18000000000006
2022-01-27,Bahrain,Uganda,3.0,1.0,Friendlies,,,,False,,0,0,0,823573,10,2022,api_football,Bahrain,Uganda,90.0,1258.53,88.0,1264.08,-5.5499999999999545
2022-01-28,Jordan,New Zealand,3.0,1.0,Friendlies,,,,False,,0,0,0,821432,10,2022,api_football,Jordan,New Zealand,64.0,1388.93,85.0,1279.25,109.68000000000006
2022-01-28,Suriname,Barbados,1.0,0.0,Friendlies,,,,False,,0,0,0,826946,10,2022,api_football,Suriname,Barbados,123.0,1140.54,178.0,914.42,226.12
2022-01-29,Nepal,Mauritius,1.0,0.0,Friendlies,,,,False,,0,0,0,821443,10,2022,api_football,Nepal,Mauritius,182.0,902.52,176.0,915.51,-12.990000000000009
2022-01-29,Kuwait,Libya,2.0,0.0,Friendlies,,,,False,,0,0,0,828062,10,2022,api_football,Kuwait,Libya,135.0,1105.1,112.0,1183.06,-77.96000000000004
2022-01-30,Nicaragua,Belize,4.0,0.0,Friendlies,,,,False,,0,0,0,826947,10,2022,api_football,Nicaragua,Belize,131.0,1116.86,181.0,910.74,206.1199999999999
2022-01-30,Indonesia,Timor-Leste,3.0,0.0,Friendlies,,,,False,,0,0,0,828036,10,2022,api_football,Indonesia,Timor-Leste,122.0,1144.73,198.0,835.55,309.18000000000006
2022-02-01,Nepal,Mauritius,1.0,0.0,Friendlies,,,,False,,0,0,0,821445,10,2022,api_football,Nepal,Mauritius,182.0,902.52,176.0,915.51,-12.990000000000009
2022-02-01,Kuwait,Libya,0.0,2.0,Friendlies,,,,False,,0,0,0,828063,10,2022,api_football,Kuwait,Libya,135.0,1105.1,112.0,1183.06,-77.96000000000004
2022-02-01,DR Congo,Bahrain,0.0,1.0,Friendlies,,,,False,,0,0,0,821444,10,2022,api_football,Congo DR,Bahrain,48.0,1468.22,90.0,1258.53,209.69000000000005
2022-02-01,Suriname,Guyana,2.0,1.0,Friendlies,,,,False,,0,0,0,826948,10,2022,api_football,Suriname,Guyana,123.0,1140.54,151.0,1041.9,98.63999999999987
2022-03-18,Iraq,Zambia,3.0,1.0,Friendlies,,,,False,,0,0,0,848767,10,2022,api_football,Iraq,Zambia,58.0,1436.94,91.0,1256.69,180.25
2022-03-19,Mauritius,Seychelles,0.0,0.0,Friendlies,,,,False,,0,0,0,849944,10,2022,api_football,Mauritius,Seychelles,176.0,915.51,203.0,805.33,110.17999999999995
2022-03-23,Guinea-Bissau,Equatorial Guinea,3.0,0.0,Friendlies,,,,False,,0,0,0,852225,10,2022,api_football,Guinea-Bissau,Equatorial Guinea,133.0,1108.09,107.0,1190.01,-81.92000000000007
2022-03-23,Laos,Mongolia,1.0,0.0,Friendlies,,,,False,,0,0,0,849945,10,2022,api_football,Laos,Mongolia,190.0,871.16,185.0,879.75,-8.590000000000032
2022-03-23,Malaysia,Philippines,2.0,0.0,Friendlies,,,,False,,0,0,0,847833,10,2022,api_football,Malaysia,Philippines,121.0,1145.89,136.0,1090.95,54.940000000000055
2022-03-23,Tanzania,Central African Republic,3.0,1.0,Friendlies,,,,False,,0,0,0,850210,10,2022,api_football,Tanzania,Central African Republic,110.0,1186.13,138.0,1083.57,102.56000000000017
2022-03-23,Bahrain,India,2.0,1.0,Friendlies,,,,False,,0,0,0,847821,10,2022,api_football,Bahrain,India,90.0,1258.53,141.0,1079.52,179.01
2022-03-23,Gibraltar,Grenada,0.0,0.0,Friendlies,,,,False,,0,0,0,829110,10,2022,api_football,Gibraltar,Grenada,202.0,818.03,164.0,989.59,-171.56000000000006
2022-03-23,Mozambique,Niger,1.0,1.0,Friendlies,,,,False,,0,0,0,848007,10,2022,api_football,Mozambique,Niger,101.0,1224.31,111.0,1185.09,39.22000000000003
2022-03-24,Thailand,Nepal,2.0,0.0,Friendlies,,,,False,,0,0,0,847813,10,2022,api_football,Thailand,Nepal,96.0,1243.27,182.0,902.52,340.75
2022-03-24,Liberia,Benin,0.0,4.0,Friendlies,,,,False,,0,0,0,850213,10,2022,api_football,Liberia,Benin,140.0,1081.46,92.0,1250.06,-168.5999999999999
2022-03-24,Armenia,Montenegro,1.0,0.0,Friendlies,,,,False,,0,0,0,825990,10,2022,api_football,Armenia,Montenegro,105.0,1196.08,82.0,1297.09,-101.00999999999999
2022-03-24,Togo,Sierra Leone,3.0,0.0,Friendlies,,,,False,,0,0,0,850212,10,2022,api_football,Togo,Sierra Leone,124.0,1140.35,120.0,1149.1,-8.75
2022-03-24,Maldives,Bangladesh,2.0,0.0,Friendlies,,,,False,,0,0,0,847834,10,2022,api_football,Maldives,Bangladesh,173.0,945.02,180.0,911.1,33.91999999999996
2022-03-24,Kosovo,Burkina Faso,5.0,0.0,Friendlies,,,,False,,0,0,0,847822,10,2022,api_football,Kosovo,Burkina Faso,79.0,1308.84,62.0,1412.79,-103.95000000000005
2022-03-24,Hungary,Serbia,0.0,1.0,Friendlies,,,,False,,0,0,0,825229,10,2022,api_football,Hungary,Serbia,41.0,1496.29,39.0,1506.34,-10.049999999999955
